epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.821,0.75919,1.59945,1.16504,1.12501,0.85553,0.85878,0.91236,0.79427,0.83828,0.84147,0.90033,0.72943,0.5144,0.89796,0.67767,0.74217,0.000659259,0.000659259,0.000659259
2,36.6157,0.60631,0.89836,0.70554,0.98599,0.87457,0.88095,0.93798,0.83114,0.86169,0.88528,0.9329,0.77664,0.50002,0.81426,0.52659,0.72861,0.00132155,0.00132155,0.00132155
3,54.2936,0.59562,0.82559,0.64903,0.96458,0.94165,0.90909,0.9576,0.86136,0.93752,0.90693,0.95315,0.78982,0.47961,0.8112,0.50224,0.70569,0.00197944,0.00197944,0.00197944
4,71.9377,0.59359,0.82695,0.63326,0.95924,0.94653,0.91954,0.97282,0.8724,0.95098,0.92387,0.97056,0.79587,0.4685,0.75024,0.47658,0.69631,0.0019802,0.0019802,0.0019802
5,89.6785,0.5648,0.7384,0.57493,0.94289,0.93637,0.89189,0.96529,0.85635,0.91842,0.90157,0.96118,0.82265,0.47041,0.5701,0.50765,0.71858,0.0019736,0.0019736,0.0019736
6,107.62,0.54757,0.7057,0.56354,0.93884,0.94877,0.92189,0.97097,0.8857,0.94877,0.92189,0.97179,0.83945,0.44937,0.59552,0.44492,0.70016,0.001967,0.001967,0.001967
7,125.415,0.53876,0.67879,0.55159,0.93488,0.96062,0.92857,0.97556,0.89328,0.95424,0.9329,0.97901,0.85503,0.41547,0.62679,0.40823,0.65668,0.0019604,0.0019604,0.0019604
8,143.258,0.53185,0.64213,0.53096,0.93087,0.90614,0.93506,0.97147,0.88325,0.93044,0.92643,0.96826,0.82408,0.41259,0.56819,0.44624,0.65362,0.0019538,0.0019538,0.0019538
9,161.09,0.51617,0.6349,0.51855,0.9175,0.93225,0.95311,0.97779,0.9096,0.92764,0.95887,0.98003,0.85105,0.38772,0.55691,0.41753,0.64716,0.0019472,0.0019472,0.0019472
10,179.084,0.49939,0.62366,0.50483,0.91956,0.96238,0.94137,0.98302,0.9162,0.96017,0.9392,0.98272,0.86536,0.37738,0.47644,0.34695,0.63857,0.0019406,0.0019406,0.0019406
11,196.972,0.5013,0.60803,0.49119,0.91849,0.94625,0.9526,0.98181,0.91132,0.94625,0.9526,0.98187,0.87148,0.40305,0.5314,0.3644,0.66184,0.001934,0.001934,0.001934
