epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0328,0.66369,1.33914,0.96099,1.0676,0.90768,0.87252,0.94522,0.84984,0.90773,0.87307,0.94588,0.779,0.45837,0.75818,0.53101,0.71164,0.000659259,0.000659259,0.000659259
2,59.78,0.57221,0.79481,0.64088,0.97362,0.94604,0.92641,0.97094,0.87254,0.94162,0.92208,0.96668,0.84141,0.44411,0.67825,0.44021,0.6926,0.00132155,0.00132155,0.00132155
3,89.6665,0.58653,0.78783,0.63823,0.96243,0.93587,0.88444,0.95511,0.83159,0.93358,0.88228,0.94922,0.78501,0.51951,0.84441,0.52749,0.75393,0.00197944,0.00197944,0.00197944
4,119.276,0.5733,0.74227,0.62664,0.96164,0.92425,0.89787,0.96636,0.86721,0.92425,0.89787,0.95975,0.80625,0.46144,0.6967,0.50348,0.71184,0.0019802,0.0019802,0.0019802
5,148.982,0.56715,0.67778,0.59115,0.9545,0.94561,0.91126,0.96871,0.88652,0.94858,0.91558,0.97342,0.87045,0.43525,0.588,0.45659,0.7032,0.0019736,0.0019736,0.0019736
6,178.734,0.53509,0.65438,0.57016,0.93839,0.88561,0.9329,0.96356,0.87776,0.88972,0.93723,0.96557,0.8506,0.46344,0.58009,0.4967,0.73792,0.001967,0.001967,0.001967
7,208.484,0.51148,0.63698,0.53852,0.92909,0.94034,0.92113,0.97315,0.89111,0.93477,0.93059,0.97276,0.83611,0.42396,0.58838,0.46604,0.66665,0.0019604,0.0019604,0.0019604
8,238.39,0.51274,0.60328,0.51981,0.92867,0.92517,0.92857,0.97253,0.89685,0.9246,0.92857,0.97164,0.86675,0.40907,0.54092,0.42247,0.68345,0.0019538,0.0019538,0.0019538
9,268.203,0.51984,0.60779,0.5232,0.92303,0.95055,0.95692,0.98242,0.91657,0.94625,0.95259,0.98206,0.84545,0.38247,0.47364,0.37164,0.65524,0.0019472,0.0019472,0.0019472
10,298.056,0.4863,0.58125,0.49523,0.91701,0.94426,0.96104,0.98017,0.91444,0.94589,0.94156,0.97134,0.87789,0.3642,0.47508,0.3608,0.64831,0.0019406,0.0019406,0.0019406
11,327.885,0.47843,0.56839,0.49573,0.90981,0.95786,0.96104,0.98238,0.91894,0.95571,0.95887,0.9834,0.87275,0.36713,0.48628,0.38206,0.66377,0.001934,0.001934,0.001934
12,357.696,0.47621,0.53994,0.47714,0.91637,0.93495,0.9697,0.9832,0.92801,0.94186,0.95887,0.98202,0.86918,0.36126,0.54218,0.36824,0.64402,0.0019274,0.0019274,0.0019274
13,387.621,0.48037,0.535,0.46909,0.9064,0.93138,0.93723,0.97166,0.90681,0.9343,0.93074,0.97097,0.8412,0.38388,0.59694,0.38107,0.6723,0.0019208,0.0019208,0.0019208
14,417.317,0.45409,0.52467,0.44645,0.90751,0.95224,0.94933,0.98323,0.92229,0.95224,0.94933,0.98239,0.88746,0.36087,0.51076,0.36635,0.64924,0.0019142,0.0019142,0.0019142
15,447.126,0.4584,0.52227,0.43057,0.90433,0.9587,0.95464,0.98428,0.92284,0.9587,0.95464,0.98374,0.89864,0.35943,0.40481,0.34301,0.65495,0.0019076,0.0019076,0.0019076
16,476.865,0.45113,0.49954,0.45299,0.89307,0.9695,0.95455,0.98586,0.93166,0.96878,0.95671,0.98629,0.87811,0.36362,0.47891,0.33394,0.66391,0.001901,0.001901,0.001901
