epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.91,1.02879,1.84704,1.66114,1.25046,0.59926,0.48989,0.49854,0.32854,0.62908,0.48445,0.5027,0.3385,1.18406,1.95286,1.53836,1.40593,0.000666027,0.000666027,0.000666027
2,231.756,1.07475,1.81785,1.39212,1.27832,0.60406,0.46917,0.50311,0.35073,0.63512,0.46403,0.50949,0.35733,1.08771,1.90575,1.36616,1.32929,0.00130631,0.00130631,0.00130631
3,345.613,1.04763,1.77735,1.32304,1.26812,0.69298,0.50843,0.56037,0.40303,0.69452,0.51069,0.56123,0.39798,1.0147,1.95782,1.26078,1.28089,0.00192019,0.00192019,0.00192019
4,458.013,0.9942,1.71098,1.24175,1.23526,0.69057,0.50745,0.56577,0.41612,0.69654,0.50876,0.56481,0.41577,0.98245,1.75998,1.27983,1.25987,0.0018812,0.0018812,0.0018812
5,571.148,0.94926,1.63042,1.17368,1.20416,0.69832,0.52582,0.57407,0.42875,0.70463,0.52916,0.57456,0.42587,0.89255,1.65704,1.17386,1.19879,0.0018416,0.0018416,0.0018416
6,684.268,0.89915,1.55009,1.11653,1.17663,0.77445,0.55541,0.64249,0.49966,0.7862,0.55412,0.64138,0.49743,0.82242,1.544,1.011,1.15482,0.001802,0.001802,0.001802
7,797.093,0.86834,1.53231,1.07625,1.1568,0.73757,0.55703,0.62849,0.48993,0.74731,0.55736,0.62865,0.4856,0.83175,1.55813,1.03187,1.15013,0.0017624,0.0017624,0.0017624
8,909.82,0.84722,1.49447,1.06269,1.14411,0.76245,0.56319,0.64749,0.50397,0.76415,0.56416,0.6436,0.49081,0.79641,1.52922,0.96315,1.12539,0.0017228,0.0017228,0.0017228
9,1022.12,0.81798,1.44644,1.02113,1.12725,0.78729,0.57615,0.66034,0.52497,0.78402,0.5755,0.65911,0.51464,0.75856,1.48626,0.94541,1.10185,0.0016832,0.0016832,0.0016832
10,1135.18,0.80234,1.43245,1.00199,1.1148,0.80841,0.57291,0.67973,0.54026,0.81588,0.57323,0.677,0.52949,0.75035,1.43736,0.9128,1.09166,0.0016436,0.0016436,0.0016436
11,1247.97,0.78465,1.38909,0.97417,1.10614,0.78225,0.59332,0.68049,0.55101,0.78227,0.59261,0.6778,0.53839,0.72841,1.41246,0.88447,1.09131,0.001604,0.001604,0.001604
12,1360.65,0.77323,1.37711,0.95857,1.10659,0.76509,0.5889,0.66867,0.53987,0.77114,0.58522,0.66769,0.52436,0.70688,1.36622,0.93776,1.06614,0.0015644,0.0015644,0.0015644
13,1473.32,0.75534,1.34012,0.93768,1.09223,0.76908,0.60564,0.69295,0.5638,0.77701,0.60369,0.68703,0.54738,0.69719,1.35445,0.87312,1.06527,0.0015248,0.0015248,0.0015248
14,1586.12,0.74985,1.33224,0.93168,1.08356,0.80252,0.60575,0.69985,0.57057,0.80786,0.60272,0.69695,0.55642,0.68264,1.32321,0.83964,1.04683,0.0014852,0.0014852,0.0014852
15,1699.09,0.74177,1.32856,0.92406,1.08571,0.80554,0.59735,0.69517,0.57373,0.81068,0.59851,0.69347,0.55936,0.668,1.33692,0.8416,1.04566,0.0014456,0.0014456,0.0014456
16,1811.54,0.72531,1.28212,0.89156,1.07512,0.82818,0.59198,0.70378,0.57914,0.841,0.59268,0.70039,0.56362,0.65956,1.30973,0.81353,1.03544,0.001406,0.001406,0.001406
17,1924.19,0.72282,1.28628,0.88728,1.07557,0.78707,0.62883,0.70984,0.58386,0.79401,0.62767,0.70651,0.56661,0.66375,1.29481,0.81669,1.03405,0.0013664,0.0013664,0.0013664
18,2036.65,0.70878,1.28323,0.87114,1.06364,0.81178,0.62152,0.71704,0.59074,0.81028,0.61957,0.71233,0.56897,0.65138,1.30253,0.79396,1.02872,0.0013268,0.0013268,0.0013268
19,2149.56,0.70721,1.25374,0.86933,1.06689,0.79623,0.63577,0.72221,0.60063,0.81794,0.62605,0.71711,0.58228,0.63789,1.23183,0.7714,1.01844,0.0012872,0.0012872,0.0012872
