epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.716,1.02747,1.81029,1.4691,1.25958,0.56574,0.46268,0.47767,0.32264,0.57129,0.46722,0.48054,0.32458,1.17209,2.10086,1.62241,1.41339,0.000666027,0.000666027,0.000666027
2,367.015,1.07409,1.81699,1.35605,1.28557,0.6203,0.50132,0.52461,0.35616,0.62923,0.49806,0.52452,0.36315,1.14149,1.97087,1.45133,1.38812,0.00130631,0.00130631,0.00130631
3,548.588,1.02453,1.75934,1.2945,1.26256,0.64286,0.50454,0.54004,0.3825,0.65476,0.50843,0.54408,0.3864,1.06782,1.86997,1.37509,1.34937,0.00192019,0.00192019,0.00192019
4,728.734,0.95714,1.65447,1.19599,1.2209,0.66882,0.48995,0.52831,0.38356,0.66881,0.48833,0.52745,0.37842,1.07209,1.9632,1.34844,1.35154,0.0018812,0.0018812,0.0018812
5,909.292,0.89,1.56152,1.11214,1.17892,0.68786,0.53176,0.58359,0.44715,0.7064,0.53078,0.58527,0.43934,0.88243,1.69509,1.16441,1.21205,0.0018416,0.0018416,0.0018416
6,1089.7,0.84454,1.47701,1.05907,1.15388,0.74517,0.57129,0.65058,0.51325,0.75715,0.56881,0.65108,0.50782,0.79135,1.51801,0.98316,1.13197,0.001802,0.001802,0.001802
7,1269.73,0.81191,1.45084,1.01833,1.13326,0.7411,0.593,0.66483,0.52936,0.74719,0.59559,0.66307,0.52082,0.76545,1.47752,0.91989,1.1188,0.0017624,0.0017624,0.0017624
8,1449.91,0.78745,1.4038,0.99768,1.11982,0.77218,0.59073,0.67211,0.53491,0.77957,0.59332,0.67233,0.53202,0.7449,1.39987,0.95231,1.10705,0.0017228,0.0017228,0.0017228
9,1629.79,0.75656,1.34828,0.95389,1.10225,0.7844,0.60272,0.68187,0.55339,0.79062,0.60143,0.68208,0.54084,0.71399,1.43082,0.89358,1.088,0.0016832,0.0016832,0.0016832
10,1810.19,0.74267,1.32777,0.93565,1.08895,0.82098,0.58101,0.68603,0.56396,0.82034,0.58444,0.68816,0.54814,0.69169,1.3802,0.89693,1.07257,0.0016436,0.0016436,0.0016436
11,1990.39,0.7145,1.27378,0.89943,1.07799,0.77447,0.61082,0.70349,0.58194,0.78428,0.60564,0.6999,0.56814,0.66128,1.30405,0.8289,1.04679,0.001604,0.001604,0.001604
12,2170.28,0.7086,1.26131,0.88803,1.07742,0.79606,0.57842,0.69044,0.56811,0.7974,0.57939,0.68636,0.55691,0.66764,1.33399,0.88438,1.05008,0.0015644,0.0015644,0.0015644
13,2350.09,0.69216,1.2246,0.867,1.06579,0.80065,0.6208,0.71792,0.59377,0.8046,0.61633,0.71317,0.58027,0.63979,1.27137,0.80136,1.02737,0.0015248,0.0015248,0.0015248
14,2530,0.68269,1.20361,0.85143,1.05519,0.81885,0.62994,0.72011,0.59967,0.82879,0.62744,0.71509,0.57867,0.63314,1.25828,0.79137,1.02841,0.0014852,0.0014852,0.0014852
15,2710.37,0.67651,1.20203,0.8454,1.05804,0.81975,0.62541,0.71609,0.59691,0.82414,0.62412,0.71131,0.58088,0.61899,1.25754,0.80364,1.02111,0.0014456,0.0014456,0.0014456
16,2890.14,0.6561,1.16269,0.81637,1.04759,0.79707,0.6224,0.71531,0.59237,0.80439,0.62281,0.71412,0.57551,0.63883,1.22642,0.79682,1.03509,0.001406,0.001406,0.001406
17,3069.99,0.65011,1.16396,0.81294,1.0431,0.82043,0.62922,0.72766,0.61772,0.82316,0.63051,0.72385,0.59889,0.58935,1.17598,0.76068,1.00096,0.0013664,0.0013664,0.0013664
18,3250.14,0.64265,1.15835,0.80267,1.03612,0.83184,0.63797,0.73841,0.62472,0.8293,0.63603,0.73171,0.60006,0.58299,1.20171,0.74544,0.99355,0.0013268,0.0013268,0.0013268
19,3430.11,0.6395,1.12316,0.79344,1.03553,0.81564,0.6523,0.74721,0.63425,0.8205,0.64878,0.74036,0.60985,0.58071,1.14969,0.71556,0.99573,0.0012872,0.0012872,0.0012872
