epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.868,0.69768,1.43889,1.14569,1.11593,0.74151,0.61075,0.6836,0.56262,0.74146,0.60856,0.67982,0.53328,0.63349,1.27403,0.90723,1.05957,0.00333056,0.00333056,0.00333056
2,710.986,0.67997,1.20619,0.91165,1.0756,0.77668,0.62137,0.69828,0.57105,0.77864,0.62293,0.69666,0.55064,0.65471,1.24188,0.87659,1.06455,0.0066419,0.0066419,0.0066419
3,1060.92,0.82621,1.47339,1.05726,1.1649,0.71692,0.54483,0.61961,0.47192,0.72899,0.54034,0.61455,0.45514,0.8479,1.60925,1.09362,1.17761,0.00993125,0.00993125,0.00993125
4,1410.36,0.92795,1.63327,1.16875,1.23297,0.73141,0.55701,0.62342,0.48868,0.73182,0.55733,0.62125,0.46766,0.79697,1.5677,1.13349,1.17905,0.009901,0.009901,0.009901
5,1759.44,0.87744,1.55021,1.0837,1.20711,0.74744,0.58326,0.64629,0.50945,0.75252,0.57755,0.64156,0.48346,0.79027,1.53514,1.02982,1.1754,0.009868,0.009868,0.009868
6,2108.78,0.83571,1.4784,1.01776,1.17624,0.73638,0.59731,0.65857,0.51893,0.74732,0.59013,0.6557,0.4974,0.77237,1.47066,0.99748,1.17902,0.009835,0.009835,0.009835
7,2458.09,0.79353,1.39958,0.96732,1.14911,0.78651,0.62955,0.71766,0.59734,0.79911,0.62632,0.71584,0.57398,0.6421,1.22072,0.83244,1.04487,0.009802,0.009802,0.009802
8,2807.4,0.77002,1.35439,0.94782,1.13637,0.8082,0.63055,0.72455,0.60535,0.81975,0.63043,0.72625,0.57875,0.61941,1.19013,0.80609,1.05502,0.009769,0.009769,0.009769
9,3156.69,0.7338,1.29259,0.90681,1.11764,0.82922,0.63855,0.72395,0.6143,0.83475,0.64136,0.7253,0.587,0.59517,1.14552,0.76141,1.03203,0.009736,0.009736,0.009736
10,3506.18,0.72025,1.27201,0.88728,1.10749,0.84306,0.64106,0.73548,0.62609,0.84522,0.64324,0.73656,0.59456,0.58746,1.12003,0.74873,1.03356,0.009703,0.009703,0.009703
11,3855.73,0.69804,1.21962,0.86173,1.09588,0.82892,0.65239,0.74338,0.6337,0.83492,0.65198,0.74417,0.60356,0.56329,1.07564,0.72939,1.01159,0.00967,0.00967,0.00967
12,4205.49,0.68751,1.20292,0.83539,1.08312,0.8285,0.6676,0.74948,0.64527,0.83584,0.66448,0.74988,0.61618,0.54184,1.05067,0.71604,0.99729,0.009637,0.009637,0.009637
13,4555.04,0.67423,1.16552,0.81867,1.07713,0.83577,0.6801,0.76171,0.65683,0.84076,0.68416,0.75999,0.62518,0.53141,1.01327,0.69879,0.98668,0.009604,0.009604,0.009604
14,4904.97,0.65263,1.1405,0.79654,1.06597,0.82792,0.68947,0.77217,0.67075,0.82992,0.69206,0.77296,0.64296,0.51712,0.97552,0.64337,0.98777,0.009571,0.009571,0.009571
15,5254.47,0.64368,1.11914,0.78421,1.05583,0.86924,0.65831,0.76829,0.66377,0.88033,0.65948,0.77023,0.63506,0.51648,0.98217,0.67769,0.98133,0.009538,0.009538,0.009538
16,5604.32,0.62687,1.08561,0.7586,1.0495,0.8449,0.70009,0.78519,0.68305,0.85456,0.69634,0.78348,0.65043,0.49747,0.92778,0.62282,0.96567,0.009505,0.009505,0.009505
17,5954.11,0.62205,1.08355,0.75267,1.04332,0.85427,0.69407,0.78304,0.68804,0.87416,0.68978,0.77785,0.64893,0.48708,0.97351,0.61536,0.96443,0.009472,0.009472,0.009472
