epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.93,0.70558,1.52301,1.17068,1.11493,0.792,0.67385,0.74932,0.6433,0.79336,0.66926,0.74361,0.61071,0.53162,1.04235,0.82118,0.97818,0.00332779,0.00332779,0.00332779
2,822.264,0.64213,1.1723,0.87309,1.04796,0.74579,0.60169,0.67069,0.52728,0.74521,0.59888,0.66741,0.50791,0.78588,1.44581,1.05538,1.14622,0.00663914,0.00663914,0.00663914
3,1231.87,0.77818,1.40579,1.02502,1.12505,0.63644,0.54452,0.57399,0.42293,0.64667,0.53764,0.57315,0.41368,0.95463,1.82732,1.68586,1.29374,0.00992849,0.00992849,0.00992849
4,1639.57,0.87465,1.55268,1.10696,1.18902,0.74206,0.54193,0.62664,0.47255,0.74004,0.53827,0.61985,0.44285,0.91746,1.79748,1.14888,1.24427,0.009901,0.009901,0.009901
5,2046.93,0.82785,1.46354,1.04284,1.16396,0.7491,0.60106,0.68123,0.53421,0.75225,0.59919,0.67761,0.52321,0.81449,1.43545,0.98464,1.15873,0.009868,0.009868,0.009868
6,2453.84,0.7872,1.39302,0.97713,1.13239,0.78682,0.62106,0.69522,0.56242,0.79532,0.61824,0.69187,0.54464,0.74808,1.44873,0.94548,1.13724,0.009835,0.009835,0.009835
7,2862.33,0.73892,1.29152,0.91274,1.10758,0.79249,0.63355,0.72234,0.60196,0.79718,0.6373,0.72361,0.57759,0.65087,1.29932,0.85915,1.04923,0.009802,0.009802,0.009802
8,3270.36,0.71927,1.2633,0.8849,1.0891,0.7978,0.65292,0.73274,0.61995,0.80029,0.65854,0.73273,0.60202,0.61213,1.18493,0.7945,1.02108,0.009769,0.009769,0.009769
9,3677.27,0.69305,1.2126,0.84681,1.07579,0.83263,0.67604,0.75955,0.65062,0.8412,0.67352,0.75909,0.62972,0.58396,1.0835,0.72866,0.99358,0.009736,0.009736,0.009736
10,4084.18,0.6747,1.17301,0.83162,1.06936,0.84318,0.66667,0.75995,0.64861,0.84279,0.66635,0.75813,0.62844,0.57403,1.06786,0.71799,0.99814,0.009703,0.009703,0.009703
