epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.02,0.91231,1.82535,1.95147,1.18458,0.58954,0.52174,0.53327,0.40485,0.59325,0.52463,0.53722,0.40352,0.81102,1.57737,1.54659,1.10817,0.00332695,0.00332695,0.00332695
2,211.235,0.84983,1.52067,1.35387,1.12507,0.62642,0.46511,0.49985,0.35677,0.61368,0.46047,0.4898,0.34522,0.97798,1.88407,1.56877,1.28196,0.0066383,0.0066383,0.0066383
3,315.87,0.9527,1.67145,1.3358,1.18514,0.55734,0.48995,0.48055,0.31505,0.55698,0.48963,0.47633,0.30638,1.17752,2.32139,1.65466,1.39543,0.00992766,0.00992766,0.00992766
4,420.398,1.01016,1.74425,1.31708,1.21434,0.67467,0.51005,0.55139,0.38715,0.67977,0.51523,0.55036,0.38784,1.01958,1.862,1.33019,1.27248,0.009901,0.009901,0.009901
5,524.617,0.96994,1.67381,1.23843,1.20058,0.70528,0.52852,0.58635,0.43493,0.71734,0.52366,0.58063,0.4278,0.91361,1.78914,1.22869,1.19908,0.009868,0.009868,0.009868
6,629.058,0.93026,1.62588,1.17645,1.17415,0.68031,0.55671,0.60656,0.45782,0.70111,0.54439,0.60224,0.44237,0.86873,1.78138,1.14842,1.17315,0.009835,0.009835,0.009835
7,732.581,0.89466,1.55076,1.11893,1.15573,0.72264,0.54245,0.61928,0.48055,0.76858,0.52722,0.61816,0.47531,0.84959,1.62127,1.06318,1.15553,0.009802,0.009802,0.009802
8,835.965,0.86642,1.52042,1.0884,1.1452,0.75119,0.5606,0.63467,0.49322,0.76021,0.55444,0.62948,0.48209,0.83073,1.60722,1.02576,1.15654,0.009769,0.009769,0.009769
9,939.226,0.84231,1.49615,1.04983,1.1256,0.74575,0.56839,0.64736,0.51032,0.75262,0.56675,0.64341,0.50254,0.79776,1.55762,0.99567,1.11775,0.009736,0.009736,0.009736
10,1043.01,0.83393,1.4534,1.02904,1.12199,0.72391,0.56967,0.64515,0.5047,0.7297,0.56773,0.64204,0.49244,0.80811,1.5648,0.99818,1.13302,0.009703,0.009703,0.009703
