epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.966,0.80657,1.6484,1.36374,1.1472,0.71661,0.56546,0.62507,0.5082,0.72448,0.55833,0.62307,0.48898,0.66334,1.35709,0.97319,1.03034,0.00332695,0.00332695,0.00332695
2,342.302,0.72451,1.31395,0.95699,1.06838,0.69834,0.53694,0.60263,0.47038,0.69911,0.53662,0.59727,0.45042,0.80555,1.69915,1.07313,1.14032,0.0066383,0.0066383,0.0066383
3,512.137,0.83823,1.48518,1.06027,1.12616,0.68732,0.51357,0.57035,0.42314,0.69564,0.51879,0.57308,0.41656,0.94045,1.81859,1.22269,1.21041,0.00992766,0.00992766,0.00992766
4,681.092,0.92225,1.62442,1.13959,1.17615,0.65826,0.49434,0.53486,0.38797,0.65932,0.49514,0.52796,0.37288,0.99674,1.96426,1.27415,1.27906,0.009901,0.009901,0.009901
5,850.238,0.88803,1.55293,1.08775,1.15876,0.69835,0.53338,0.60305,0.46507,0.70089,0.53533,0.60232,0.45714,0.88371,1.68187,1.0996,1.1938,0.009868,0.009868,0.009868
6,1018.99,0.85123,1.49052,1.02869,1.13802,0.72995,0.57291,0.63893,0.50131,0.72631,0.56708,0.6319,0.49268,0.8118,1.56968,1.00017,1.15266,0.009835,0.009835,0.009835
7,1187.68,0.80982,1.40305,0.98142,1.11599,0.76092,0.56518,0.65401,0.52489,0.80704,0.54148,0.64802,0.50481,0.77553,1.6354,0.95399,1.10715,0.009802,0.009802,0.009802
8,1356.28,0.7848,1.37366,0.95823,1.1039,0.77728,0.56481,0.65891,0.52895,0.78136,0.56164,0.65871,0.51366,0.76765,1.51295,0.94687,1.11894,0.009769,0.009769,0.009769
9,1524.91,0.76578,1.34906,0.92642,1.088,0.76905,0.59235,0.66968,0.53857,0.78036,0.58782,0.66614,0.52495,0.73037,1.50148,0.90294,1.08964,0.009736,0.009736,0.009736
10,1693.96,0.74875,1.29732,0.90972,1.0809,0.79482,0.58393,0.68251,0.55765,0.79112,0.58587,0.67932,0.5414,0.69917,1.39602,0.88854,1.06704,0.009703,0.009703,0.009703
