epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,630.085,0.65129,1.35459,1.09327,1.09377,0.77193,0.6524,0.72861,0.61565,0.78037,0.64917,0.72387,0.57957,0.54616,1.05825,0.80195,0.97645,0.00333056,0.00333056,0.00333056
2,1251.87,0.64454,1.15273,0.86128,1.05363,0.73328,0.61152,0.66279,0.54155,0.7374,0.60825,0.66221,0.51366,0.66643,1.31009,1.00078,1.05415,0.0066474,0.0066474,0.0066474
3,1870.23,0.79431,1.43358,1.02554,1.14297,0.71102,0.55572,0.62049,0.47649,0.71283,0.55058,0.61764,0.45535,0.84592,1.63179,1.05882,1.17348,0.00994774,0.00994774,0.00994774
4,2487.79,0.91575,1.62875,1.14641,1.22669,0.70942,0.55067,0.60703,0.45847,0.7131,0.5517,0.6066,0.44584,0.87789,1.66763,1.13822,1.23721,0.00992575,0.00992575,0.00992575
5,3104.79,0.86742,1.53079,1.06508,1.19943,0.77042,0.60175,0.68751,0.55857,0.77752,0.59919,0.68706,0.54004,0.69881,1.3463,0.91866,1.09006,0.009901,0.009901,0.009901
6,3722.18,0.81073,1.4518,0.99246,1.16131,0.80602,0.6248,0.70855,0.57659,0.81718,0.61699,0.70792,0.55932,0.69027,1.321,0.85011,1.10295,0.00987625,0.00987625,0.00987625
7,4339.38,0.77319,1.36836,0.95269,1.13699,0.79508,0.6423,0.72423,0.59902,0.79974,0.64373,0.72457,0.57464,0.62233,1.21128,0.82342,1.0466,0.0098515,0.0098515,0.0098515
8,4956.52,0.74156,1.31458,0.92168,1.11956,0.80353,0.63668,0.72327,0.60827,0.83451,0.62855,0.72514,0.58113,0.61134,1.15254,0.79438,1.039,0.00982675,0.00982675,0.00982675
9,5573.12,0.71211,1.26142,0.87462,1.10574,0.8336,0.67296,0.75498,0.64198,0.84316,0.66729,0.75194,0.61594,0.57804,1.07965,0.68845,1.00937,0.009802,0.009802,0.009802
10,6190.37,0.69829,1.23726,0.86172,1.09478,0.85235,0.65604,0.75867,0.64085,0.8618,0.65948,0.75911,0.61743,0.58728,1.05053,0.70696,1.04185,0.00977725,0.00977725,0.00977725
11,6807.76,0.67523,1.18175,0.83268,1.08215,0.84616,0.66323,0.75807,0.6509,0.85359,0.66845,0.76093,0.62161,0.54437,1.00611,0.68162,0.99569,0.0097525,0.0097525,0.0097525
12,7425.05,0.66639,1.15628,0.80816,1.0708,0.83559,0.68592,0.76724,0.65827,0.8375,0.68748,0.7659,0.63259,0.53469,0.98014,0.68066,1.00172,0.00972775,0.00972775,0.00972775
